COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
1-1,"1, 2, 3, 5, 9","4, 6, 7",8,"Red, Orange, White, Yellow, Green,",BLACK,Govt Job
1-2,"1, 3, 5","2, 6, 7","8, 4, 9","Red, Orange, Yellow, Green,",BLACK,Normal
1-3,"1, 2, 3, 5","4, 7, 9","8, 6","Red, Orange, White, Yellow, Green,","BLACK, INDIGO",Daiva Sambutharu (Intercast Marriage)
1-4,1,"3, 5, 6, 7","8, 2, 4, 9","Red, Orange",BLACK,Normal
1-5,"1, 2, 3, 5","4, 6, 7, 9",8,"Red, Orange, White, Yellow, Green,",BLACK,"BudhaAditya Yoga, Super"
1-6,5,"1, 2, 4, 6, 7, 9","8, 3","Green,","BLACK, YELLOW",Normal
1-7,"1, 5","2, 3, 4, 6, 7, 9",8,"Red, Orange, Green,",BLACK,Normal
1-8,"3, 5","6, 7, 9","8, 4, 1, 2","Yellow, Green,","BLACK, RED, ORANGE",Everywhere Enemies
1-9,"1, 3, 5","6, 7, 9","8, 2, 4","Red, Orange, Yellow, Green,",BLACK,Super
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
2-1,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Normal
2-2,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Auspisious
2-3,"1, 3, 5","2, 7","4, 9, 6, 8","Red, Orange, Yellow, Green,","BLACK, INDIGO","Wonderful, GajaKesari Yoga"
2-4,1,"3, 5, 6, 7","4, 9, 2, 8","Red, Orange",BLACK,Super
2-5,"1, 3, 5","2, 6, 7","4, 9, 8","Red, Orange, Yellow, Green,",BLACK,Auspisious
2-6,5,"1, 2, 6, 7","4, 9, 3, 8","Green,","BLACK, YELLOW",Normal
2-7,"1, 5","2, 3, 6, 7","4, 9, 8","Red, Orange, Green,",BLACK,"Auspisious, Wonderful"
2-8,"3, 5","6, 7","4, 9, 8, 1, 2","Yellow, Green,","BLACK, RED, ORANGE",Mental Torture
2-9,"1, 3, 5","6, 7","4, 9, 2, 8","Red, Orange, Yellow, Green,",BLACK,"Enemies, Disasters, Accidents, Marriage Life Disturbed"
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
3-1,"1, 2, 3, 5","4, 7, 9","6, 8","Red, Orange, White, Yellow, Green,","INDIGO, BLACK","Bhadraka Yoga, Very Auspisious"
3-2,"1, 3, 5","2, 7","6, 4, 9, 8","Red, Orange, Yellow, Green,","INDIGO, BLACK","GajaKesari, Very Auspisious"
3-3,"1, 2, 3, 5","4, 7, 8, 9",6,"Red, Orange, White, Yellow, Green,",INDIGO,Very Auspisious
3-4,1,"3, 5, 7","6, 2, 4, 8, 9","Red, Orange","INDIGO, BLACK",Normal
3-5,"1, 2, 3, 5","4, 7, 8, 9",6,"Red, Orange, White, Yellow, Green,",INDIGO,"Very Opposite, Lose"
3-6,5,"1, 2, 4, 7, 8, 9","6, 3","Green,","INDIGO, YELLOW","Very Opposite, Lose"
3-7,"1, 5","2, 3, 4, 7, 8, 9",6,"Red, Orange, Green,","INDIGO, BLACK",InAspisious
3-8,"3, 5","7, 9","6, 4, 8, 1, 2","Yellow, Green,","INDIGO, RED, ORANGE",Auspisious
3-9,"1, 3, 5","7, 8, 9","6, 2, 4","Red, Orange, Yellow, Green,",INDIGO,"Very Auspisious, Very Special"
,,,,,,
COMBO,LUCKY NUMBERS,NEUTRAL NUMBERS,UNLUCKY NUMBERS,LUCKY COLORS,UNLUCKY COLORS,AUSPISIOUS / INAUSPISIOUS
4-1,1,"3, 5, 6, 7","2, 4, 8, 9","Red, Orange",BLACK,Auspisious
4-2,1,"3, 5, 6, 7","2, 4, 8, 9","Red, Orange",BLACK,InAspisious
